targets, factors
Gene1, (!Gene453 & !Gene197 & Gene921) | (Gene550) | (Gene453 & !Gene921) | (Gene453 & Gene197)
Gene2, (!Gene96 & !Gene968 & !Gene662) | (!Gene96 & !Gene968 & Gene219) | (!Gene968 & !Gene662 & Gene219) | (Gene96 & !Gene968 & Gene662 & !Gene219)
Gene3, (!Gene144) | (Gene912 & !Gene831) | (Gene686)
Gene4, (!Gene235 & !Gene70 & Gene713 & Gene432) | (Gene70 & Gene713 & !Gene432) | (Gene235 & Gene713 & !Gene432) | (Gene235 & Gene70 & Gene713)
Gene5, (!Gene846 & !Gene802) | (!Gene401) | (Gene214)
Gene6, (!Gene231 & !Gene730 & !Gene726) | (Gene231 & !Gene61 & !Gene730 & Gene726) | (Gene61 & !Gene730 & !Gene726)
Gene7, (!Gene272) | (!Gene184) | (!Gene457) | (Gene957)
Gene8, (Gene769) | (!Gene831 & Gene352) | (!Gene635 & Gene831 & !Gene352) | (Gene635 & !Gene831)
Gene9, (Gene59 & !Gene694) | (!Gene990 & Gene59 & !Gene327)
Gene10, (!Gene899) | (!Gene262 & !Gene753 & !Gene916) | (Gene262 & Gene753)
Gene11, (!Gene131) | (!Gene209 & Gene216) | (Gene209 & Gene480 & !Gene216)
Gene12, (Gene167 & !Gene738 & !Gene99 & Gene752) | (Gene167 & !Gene738 & Gene99 & !Gene752)
Gene13, (Gene350 & !Gene297 & !Gene67) | (Gene350 & Gene545 & Gene67)
Gene14, (Gene542 & !Gene598 & Gene711) | (Gene542 & Gene598 & !Gene711 & Gene359)
Gene15, (!Gene366 & !Gene784 & Gene231 & Gene195) | (Gene366 & !Gene231 & Gene195) | (Gene366 & Gene784 & Gene195)
Gene16, (!Gene425 & !Gene715 & Gene396) | (Gene425 & !Gene715 & !Gene185 & !Gene396)
Gene17, (!Gene628 & !Gene301) | (!Gene628 & Gene16) | (Gene33) | (!Gene301 & Gene16)
Gene18, (!Gene170 & !Gene578 & !Gene425) | (Gene829 & !Gene425)
Gene19, (!Gene294 & !Gene459) | (!Gene978) | (!Gene294 & Gene747) | (!Gene459 & Gene747) | (Gene294 & Gene459 & !Gene747)
Gene20, (!Gene11 & !Gene434) | (!Gene899 & Gene856 & !Gene11)
Gene21, (!Gene896 & !Gene730 & Gene326) | (!Gene439 & !Gene730 & Gene326) | (Gene439 & Gene730 & Gene326)
Gene22, (!Gene697 & !Gene703) | (Gene703 & Gene496) | (Gene506)
Gene23, (!Gene513 & !Gene773) | (Gene337) | (Gene513 & Gene773 & !Gene99)
Gene24, (!Gene639 & Gene584 & !Gene163 & Gene65)
Gene25, (!Gene947) | (!Gene39 & Gene893) | (Gene412)
Gene26, (!Gene857 & !Gene233) | (Gene857 & Gene233 & Gene413) | (Gene761)
Gene27, (!Gene948) | (!Gene905) | (!Gene242 & Gene873)
Gene28, (!Gene416) | (!Gene71 & Gene562 & Gene732) | (Gene71 & !Gene562 & !Gene732)
Gene29, (!Gene687 & !Gene529 & Gene493) | (!Gene622 & !Gene687 & Gene493) | (Gene622 & !Gene529 & Gene493)
Gene30, (!Gene992 & Gene987) | (Gene664 & !Gene987) | (Gene510) | (Gene992 & !Gene987)
Gene31, (!Gene920) | (!Gene199) | (Gene167 & !Gene452)
Gene32, (!Gene971 & !Gene901 & !Gene472 & !Gene945) | (!Gene971 & Gene901 & Gene472 & !Gene945) | (Gene971 & !Gene901 & Gene472 & !Gene945)
Gene33, (!Gene195) | (!Gene982 & !Gene587) | (!Gene74) | (Gene982 & Gene587)
Gene34, (!Gene460 & Gene392) | (Gene936 & !Gene460 & !Gene947)
Gene35, (!Gene184 & !Gene482 & !Gene29) | (!Gene809) | (Gene184 & !Gene482 & Gene29) | (Gene184 & Gene482 & !Gene29)
Gene36, (!Gene138) | (!Gene572) | (Gene601) | (Gene943)
Gene37, (!Gene319) | (Gene602 & Gene271) | (Gene697 & Gene271)
Gene38, (!Gene477) | (Gene325 & !Gene956) | (Gene325 & Gene275)
Gene39, (!Gene50 & !Gene406 & Gene764 & !Gene637)
Gene40, (!Gene586 & !Gene829 & Gene449) | (!Gene178 & !Gene586 & Gene829) | (Gene178 & !Gene586 & !Gene829)
Gene41, (Gene784 & !Gene533 & !Gene823) | (Gene784 & Gene768 & Gene823) | (Gene784 & Gene533 & Gene823)
Gene42, (!Gene826) | (!Gene703 & !Gene405) | (!Gene519 & !Gene703) | (Gene519 & !Gene405)
Gene43, (!Gene522 & Gene972) | (Gene452) | (Gene636 & !Gene522) | (Gene636 & Gene972)
Gene44, (!Gene514) | (!Gene106 & Gene770 & !Gene400) | (Gene106 & !Gene770 & !Gene400) | (Gene106 & Gene770 & Gene400)
Gene45, (!Gene543) | (Gene897) | (Gene183 & !Gene901)
Gene46, (!Gene717 & !Gene383) | (Gene717 & Gene383 & !Gene357) | (Gene766)
Gene47, (!Gene270 & Gene25) | (!Gene270 & Gene66) | (Gene57) | (Gene66 & Gene25)
Gene48, (!Gene196 & Gene73) | (!Gene196 & Gene661) | (Gene192)
Gene49, (!Gene77) | (Gene682 & Gene773 & Gene685)
Gene50, (Gene188) | (!Gene690 & Gene581) | (!Gene721 & Gene690 & !Gene581) | (Gene721 & !Gene690)
Gene51, (!Gene245) | (!Gene781 & !Gene395) | (Gene468) | (Gene781 & Gene395)
