targets, factors
Gene1, (!Gene230 & !Gene198 & !Gene449) | (!Gene230 & !Gene197) | (!Gene197 & Gene198) | (Gene230 & Gene198 & !Gene449)
Gene2, (!Gene901 & Gene160) | (!Gene737 & !Gene901 & Gene952) | (!Gene737 & Gene160) | (Gene952 & Gene160)
Gene3, (!Gene651 & !Gene892 & !Gene591) | (!Gene670 & Gene892 & Gene591) | (Gene651 & Gene892 & !Gene591) | (Gene670 & !Gene591)
Gene4, (!Gene35 & !Gene15 & !Gene209) | (!Gene35 & Gene249) | (Gene35 & Gene15 & !Gene249) | (Gene15 & Gene249 & Gene209)
Gene5, (!Gene682 & !Gene606 & !Gene796) | (!Gene180 & !Gene606 & Gene796) | (Gene180 & Gene606 & Gene796) | (Gene682 & !Gene180 & Gene606)
Gene6, (!Gene461 & Gene420 & Gene674) | (Gene461 & !Gene420) | (Gene461 & Gene236)
Gene7, (!Gene758 & !Gene412 & !Gene257) | (!Gene940 & !Gene758 & !Gene412) | (!Gene940 & !Gene412 & !Gene257) | (Gene758 & Gene412 & !Gene257) | (!Gene940 & Gene758 & Gene412) | (Gene940 & Gene412 & !Gene257)
Gene8, (!Gene69 & Gene867) | (!Gene421 & !Gene30 & Gene69) | (!Gene421 & Gene867) | (Gene421 & Gene30 & Gene69 & !Gene867)
Gene9, (Gene96 & !Gene444) | (Gene709 & !Gene444) | (Gene703 & !Gene709 & Gene444)
Gene10, (!Gene237 & !Gene658) | (!Gene962 & Gene658 & Gene571) | (Gene962 & !Gene658 & Gene571) | (Gene237 & Gene658 & Gene571)
Gene11, (!Gene237 & !Gene555 & Gene829) | (!Gene237 & Gene555 & !Gene751 & !Gene829) | (!Gene237 & Gene751 & Gene829) | (Gene237 & Gene751 & !Gene829) | (!Gene555 & Gene751 & Gene829) | (Gene237 & Gene555 & !Gene751 & Gene829)
Gene12, (!Gene368 & Gene509) | (!Gene181 & Gene368 & !Gene316) | (Gene181 & !Gene368)
Gene13, (Gene314 & Gene403 & Gene79) | (Gene815 & !Gene79) | (Gene815 & !Gene314)
Gene14, (!Gene1000 & !Gene817 & !Gene946) | (!Gene849 & !Gene1000 & !Gene946) | (!Gene849 & Gene1000 & !Gene817 & Gene946) | (Gene849 & !Gene1000 & Gene946) | (Gene849 & !Gene817 & !Gene946) | (Gene849 & Gene817 & Gene946)
Gene15, (Gene303 & !Gene202) | (!Gene589 & !Gene989 & Gene303) | (!Gene589 & Gene989 & !Gene202) | (Gene589 & !Gene989 & !Gene202) | (Gene589 & !Gene989 & !Gene303)
Gene16, (!Gene829 & !Gene792) | (!Gene829 & Gene615) | (Gene829 & !Gene615 & Gene792 & !Gene984) | (Gene615 & !Gene792 & !Gene984)
Gene17, (!Gene119 & !Gene417 & Gene813) | (!Gene119 & Gene417 & Gene605) | (Gene119 & !Gene813 & !Gene605) | (Gene119 & Gene417 & !Gene605) | (Gene417 & Gene813 & Gene605)
Gene18, (!Gene439 & !Gene502 & Gene583) | (!Gene502 & Gene233) | (Gene439 & !Gene233 & !Gene583) | (Gene439 & Gene233 & Gene583)
Gene19, (!Gene453 & !Gene852) | (Gene246 & Gene453 & Gene852) | (Gene246 & Gene46)
Gene20, (!Gene952 & !Gene710 & !Gene301) | (!Gene34 & Gene952 & Gene301) | (Gene34 & !Gene952) | (Gene952 & Gene710 & Gene301)
Gene21, (!Gene740 & !Gene326 & !Gene12 & Gene956) | (Gene326 & Gene12 & !Gene956) | (!Gene740 & Gene326 & Gene12) | (Gene740 & Gene12 & !Gene956) | (Gene740 & !Gene326 & Gene12) | (Gene740 & Gene326 & !Gene956) | (Gene740 & Gene326 & !Gene12)
Gene22, (!Gene91 & !Gene31 & Gene693) | (Gene31 & Gene821 & !Gene693) | (!Gene91 & Gene821 & Gene693) | (Gene91 & !Gene693)
Gene23, (!Gene224 & !Gene390 & Gene505) | (!Gene814 & Gene390 & !Gene505) | (!Gene814 & Gene224 & !Gene505) | (!Gene814 & !Gene390 & Gene505) | (Gene814 & !Gene224 & !Gene390) | (Gene814 & !Gene224 & Gene505)
Gene24, (!Gene408 & !Gene296 & !Gene930) | (!Gene408 & Gene381) | (!Gene408 & Gene296 & Gene930) | (!Gene296 & !Gene930 & Gene381) | (Gene408 & Gene296 & !Gene930 & !Gene381)
Gene25, (!Gene928 & Gene497 & !Gene105) | (!Gene928 & Gene497 & !Gene43) | (Gene928 & !Gene497 & !Gene43) | (Gene928 & Gene43 & Gene105) | (Gene497 & Gene43 & !Gene105)
Gene26, (!Gene593 & !Gene48 & Gene717) | (!Gene593 & Gene48 & !Gene717) | (!Gene585 & !Gene593 & Gene717) | (!Gene585 & !Gene48 & Gene717) | (!Gene585 & Gene48 & !Gene717) | (Gene585 & Gene593 & Gene48 & Gene717)
Gene27, (Gene451 & !Gene591) | (!Gene968 & Gene852 & Gene591) | (Gene968 & !Gene852 & !Gene591) | (Gene968 & !Gene852 & !Gene451)
Gene28, (!Gene786 & !Gene920) | (!Gene920 & Gene231) | (Gene786 & Gene920 & !Gene231 & !Gene25) | (Gene786 & Gene231 & Gene25)
